Model Name,r2 score_train,r2 score_test,Overfitting Gap,root_mean_squared_error,mean_absolute_error,root_mean_squared_log_error
Linear Regression,0.6814720137233828,0.6524712478225344,0.029000765900848435,1325371.0765331886,974099.5304984617,0.2491545192709128
Voting Regressor,0.6814588491913485,0.6523994577572578,0.029059391434090642,1325507.962419945,974207.7844784759,0.24917837744515264
Lasso,0.6814454325882068,0.652327528916739,0.029117903671467826,1325645.098740917,974316.0384584898,0.2492022831282769
Voting Regressor,0.681250408113639,0.6518172917964287,0.02943311631721035,1326617.4871388983,974931.8608530804,0.24936819233719115
Voting Regressor,0.6809266446267995,0.6509520491914743,0.029974595435325213,1328264.8029326117,976016.4555399235,0.2496438902677318
ElasticNet,0.6807474516296476,0.6505901250446076,0.03015732658504,1328953.2564141606,976538.0395929248,0.24976727888625178
Ridge,0.6796302648899338,0.6481094028018393,0.03152086208809457,1333662.529492218,979588.6998687859,0.250545888829439
XGBoost,0.8501171469688416,0.623897910118103,0.22621923685073853,1378780.0,1025934.6875,0.27134251594543457
Random Forest,0.8880447796534379,0.6096476437443668,0.2783971359090711,1404657.753876772,1028049.275940645,0.26840336816522176
LightGBM,0.8299140042515991,0.5989571875182989,0.23095681673330026,1423762.2931818473,1050216.9545846719,0.27109597775261757
